iter	Passed	Remaining
958	3566	152
959	3570	148
960	3573	145
961	3577	141
962	3581	137
963	3584	133
964	3588	130
965	3591	126
966	3595	122
967	3599	118
968	3602	115
969	3606	111
970	3610	107
971	3613	104
972	3617	100
973	3621	96
974	3625	92
975	3628	89
976	3632	85
977	3636	81
978	3640	78
979	3643	74
980	3647	70
981	3651	66
982	3654	63
983	3658	59
984	3661	55
985	3665	52
986	3669	48
987	3672	44
988	3676	40
989	3680	37
990	3683	33
991	3687	29
992	3691	26
993	3694	22
994	3698	18
995	3702	14
996	3705	11
997	3709	7
998	3713	3
999	3716	0
